id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H,spectral_class
bk10b02k,       (2010 BK2),Y,Y,0.032861,0.4478121655843343,0.9038445221280156,0.4990919493223311,6.045735485530354,0.118,0.205,ATE,22.0,S
bk10c00m,       (2010 CM),Y,N,0.265285,0.5312913006620646,2.626272595031191,1.230956812123934,7.432985066133022,1.168,0.057,AMO,18.2,C
bk10c01k,       (2010 CK1),Y,N,0.0536338,0.2153961740834699,1.146585989693644,0.8996157542559244,27.27671259558836,0.084,0.063,APO,24.0,C
bk10c18h,       (2010 CH18),Y,N,0.330491,0.5705952945281126,2.60614117233248,1.119089282523588,27.14325446729361,0.394,0.286,AMO,19.0,S
bk10c19c,       (2010 CC19),Y,N,0.0543604,0.7510776524464398,1.099100632122349,0.2735907095454971,46.11959470816301,0.104,0.196,APO,22.3,S
bk10c44n,       (2010 CN44),Y,Y,0.0251349,0.676074235654792,2.851292335283933,0.9236070490784812,3.844418384606414,0.34,0.185,APO,19.6,S
bk10c44o,       (2010 CO44),Y,N,0.0277331,0.2305689728649623,1.070310316727088,0.8235299663525505,6.181783942154926,0.034,0.218,APO,24.6,S
bk10c55b,       (2010 CB55),Y,N,0.0444321,0.1480798790990869,1.133183166806819,0.9653815404689448,25.92141434426444,0.198,0.037,APO,22.7,C
bk10c55c,       (2010 CC55),Y,N,0.0792969,0.4690968239429129,1.545988317181974,0.8207701077390616,6.78461491446013,0.242,0.033,APO,22.5,C
bk10c55d,       (2010 CD55),Y,N,0.011793,0.2013026615754631,1.023996057735353,0.8178629258704446,5.930626384263698,0.083,0.145,APO,23.3,C
bk10c55f,       (2010 CF55),Y,N,0.0535882,0.761234151801202,1.900280172817218,0.4537220072780614,5.152003618967228,0.176,0.119,APO,21.7,C
bk10ce0p,       (2010 CP140),Y,N,0.0980619,0.5388296303843186,1.899680126284732,0.8760761859902939,14.48377305544506,0.556,0.11,APO,19.5,C
