id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H
bK16R01S,       (2016 RS1),Y,N,0.000913471,0.4332698419193273,1.757455900205877,0.9960032601434876,1.623074136568343,0.0049599734457997325,,APO,29.2
bK16R01T,       (2016 RT1),Y,Y,0.0360845,0.1113724040038501,0.9602604674905172,0.8533139507562374,30.57614015039026,0.14304719672357855,,ATE,21.9
bK16R01U,       (2016 RU1),Y,N,0.00427462,0.5653048549203158,2.204633807032275,0.9583436125954714,0.5746075752365319,0.010362853329448146,,APO,27.6
bK16R01V,       (2016 RV1),Y,N,0.0478096,0.6133905021559294,2.697568283682361,1.042905519554529,14.86531454466981,0.034314632447397714,,AMO,25.0
bK16R01W,       (2016 RW1),Y,N,0.0179091,0.5382748661809238,2.222944176795761,1.026389197503359,4.340238150989233,0.01366090123221672,,AMO,27.0
bK16R17F,       (2016 RF17),Y,N,0.191008,0.4310976209981811,2.109689599604103,1.200207432170169,5.761206194533497,0.06846669297430096,,AMO,23.5
bK16R17G,       (2016 RG17),Y,N,0.0441558,0.5693497042013546,0.8114312888689704,0.3494431245716982,21.98711982415533,0.08619445964685658,,ATE,23.0
bK16R17H,       (2016 RH17),Y,N,0.00545692,0.3010181980689233,1.385170262554144,0.968208806101438,24.23541949121185,0.06846669297430096,,APO,23.5
bK16R17J,       (2016 RJ17),Y,N,0.128342,0.2684406207890028,1.514423879797639,1.107890993367071,28.95037675949753,0.06846669297430096,,AMO,23.5
bK16R17K,       (2016 RK17),Y,N,0.0416209,0.5109929265517601,2.106439693767196,1.030063910044303,6.887160463358284,0.02988679546440889,,AMO,25.3
bK16R17L,       (2016 RL17),Y,N,0.00156389,0.3318887349130619,0.8576521532189519,0.5730070650916504,3.182397500420572,0.01719805570924787,,ATE,26.5
bK16R17M,       (2016 RM17),Y,N,0.0120581,0.2379548891094514,1.288432570895137,0.9818437413627792,6.556503957898513,0.010362853329448146,,APO,27.6
bK16R17N,       (2016 RN17),Y,N,0.0762198,0.2262406843325882,1.213397850209554,0.9388778902104532,37.89409270108647,0.07861028149035892,,APO,23.2
bK16R17O,       (2016 RO17),Y,N,0.00500266,0.6318083082468039,2.054710522719613,0.7565273434232281,6.675579639227629,0.018857293101246106,,APO,26.3
bK16R17P,       (2016 RP17),Y,N,0.0101832,0.7092033262715712,2.333324923548688,0.6785231264955988,3.260895686438618,0.04319956278440562,,APO,24.5
bK16R17Q,       (2016 RQ17),Y,N,0.0197767,0.3615122381962846,1.161428612849956,0.7415579555133625,39.8804910829102,0.056948114743233316,,APO,23.9
bK16R17T,       (2016 RT17),Y,N,0.167094,0.1820121366283713,1.404309850145778,1.148708413832477,17.36534503673759,0.07861028149035892,,AMO,23.2
bK16R17V,       (2016 RV17),Y,N,0.166954,0.3007192332518793,1.646899150128092,1.1516449004584,5.905292402867247,0.0750722360083508,,AMO,23.3
bK16R17W,       (2016 RW17),Y,N,0.0554372,0.3313679978177649,1.583241026813851,1.058605617695603,15.98904585420471,0.03762524628723898,,AMO,24.8
bK16R17X,       (2016 RX17),Y,N,0.175141,0.2717478788131449,1.573365839844859,1.145807010269956,18.53365900952029,0.0750722360083508,,AMO,23.3
bK16R17Y,       (2016 RY17),Y,N,0.0080877,0.4931310157313936,1.707060736050376,0.8652561413666736,2.284281867357766,0.02988679546440889,,APO,25.3
bK16R17Z,       (2016 RZ17),Y,N,0.0155648,0.0579229797072502,1.022103563762186,0.9629002797796804,29.06111978088191,0.027257081417153942,,APO,25.5
bK16R18A,       (2016 RA18),Y,N,0.145565,0.495401132712655,2.270342184220584,1.145612094512383,6.708032793104363,0.08231506991887196,,AMO,23.1
bK16R18B,       (2016 RB18),Y,N,0.175204,0.535960544491803,2.494802539213845,1.15768681189726,9.348012483405402,0.1366090123221672,,AMO,22.0
bK16R18C,       (2016 RC18),Y,N,0.0247344,0.503644233942557,2.088491906394162,1.036635000103044,2.087484135557231,0.020676610723797662,,AMO,26.1
bK16R18D,       (2016 RD18),Y,N,0.0270395,0.6000086802395364,2.578543819691437,1.031395145498565,3.06809069896016,0.01719805570924787,,AMO,26.5
bK16R18E,       (2016 RE18),Y,N,0.0447317,0.4627850793358158,1.91427761305116,1.028378496024503,2.808181682942389,0.06244236612741559,,AMO,23.7
bK16R18G,       (2016 RG18),Y,N,0.0712485,0.1760515015702303,1.238720999139585,1.020642307214485,21.85532588535059,0.07861028149035892,,AMO,23.2
bK16R18H,       (2016 RH18),Y,N,0.154199,0.2626405399959299,1.546051363161533,1.139995598279344,8.94398829955301,0.16424015696315358,,AMO,21.6
